번호,용어,설명
695,조사,"사란 인간생활과 그를 둘러싸고 있는 환경 전반에 걸쳐 정보를 얻기 위해 행해지는 행위이다. 따라서 조사는 관찰대상에 대해 알고자 하는 항목들의 집합되어진 성질과 관계를 갖게되며, 전수조사(Census)와 표본조사로 구분된다."
696,조사구,"조사대상 누락이나 중복을 방지하기 위하여 조사담당구역을 명확히 하며, 조사원의 업무량을 적정하게 배분하고, 각종 통계조사의 표본틀을 제공하기 위하여 분할 설정한 조사구역단위이다."
697,조사기간,통계조사시에 조사하는 시간의 길이를 말하는 것으로 데이타가 얻어진 시간이다. 
698,조사망률,"사망수준을 나타내는 가장 기본적인 지표로 연간의 총사망자수를 당해 년도의 주민등록에 의한 연앙인구로 나눈 수치를 1,000분비로 나타낸 비율이다."
699,조사방법,"조사에서 얻고자하는 원자료(raw data)를 수집하는 방법을 말한다. 타계식 조사방법은 조사원이 조사표의 설문에 따라 피조사자에 문의하여 답을 구하고 그 답을 조사원이 조사표에 기입하는 조사방식이며, 자계식 조사방법은 피조사자가 조사표의 설문에 대해 직접 그 답을 조사표에 기입하는 조사방식이다. 우편조사는 조사원이 피조사자를 방문하는 대신 조사표를 우편으로 발송하여 피조사자가 자계식으로 조사표를 작성한 후 이를 우편으로 제출토록 하는 방식이다. 한편, 최근에는 컴퓨터의 사용이 늘어나면서, 컴퓨터를 이용한 면접조사(CAPI), 컴퓨터를 이용한 자계식조사(CASI), 인터넷조사 등이 크게 증가되고 있다."
700,조사원,"통계조사시에 조사표를 갖고 피조사자와 접하여 조사를 실제로 담당하는 사람을 말한다. 면접조사, 전화조사, 우편조사 등의 방법으로 조사를 수행하며 조사원의 자질에 따라 얻어지는 자료의 질이나 양이 달라질 수 있다."
701,조사표,"조사표는 집단이나 연속적인 대상과 문제에 대한 정보를 도출하는데 고안되어진 질문의 형식을 취하며, 리스트(List)와 같은 통상적인 의미와는 다르다. 조사표의 양식에는 단기표(Individual schedule), 연기표(Collective schedule) 및 가구표(Households schedule) 등이 있으며 그 사용은 조사방법, 집계방법 및 경비 등을 고려하여 정한다."
702,조세 및 조세부담률,"조세란 일반적으로 국가가 수입을 조달할 목적으로 특정한 개별적인 보상없이 사경제로부터 강제적으로 징수하는 화폐 또는 재화를 의미한다. 이러한 조세 수입이 GDP에 대하여 차지하는 비중(조세수입/경상GDP)을 조세부담률이라고 하는데 이는 국민전체의 조세부담정도를 나타내 주는 지표라 할 수 있다. 조세부담률의 크기는 조세의 누진정도, 국가의 조세징수능력 등에 의하여 결정된다"
703,조세공과(금),"기업경영에서 필연적으로 발생하는 조세 및 공공적 부담금을 말하는 회계용어이다. 기업 회계에서는 법인세나 소득세를 제외한 등록세, 취득세, 사업 소득세, 자동차세 등 모든 세금과 공과금을 의미한다. "
704,조이혼율,"1년간 발생한 총 이혼건수를 당해연도의 주민등록에 의한 연앙인구로 나눈수치를 1,000분비로 나타낸 것"
705,조정 처분가능소득,"현물소득 재분배계정의 균형항목으로서 제2차소득분배계정의 균형항목인 처분가능소득에 사회적 현물이전 수취액을 더하고 사회적 현물이전 지급액을 차감한 것이다. 조정 처분가능소득을 산출하기 위해 필요한 처분가능소득은 제2차 소득분배계정에서 도출되는데 이 계정은 소득분배의 두번째 단계를 나타내는 계정으로 본원소득에 각 제도단위 또는 제도부문이 지급 또는 수취하는 모든 경상이전, 즉 소득&#8226;부 등에 대한 경상세, 사회부담금 및 사회수혜금,기타 경상이전 등을 기록하여 처분가능소득이 산출되는 과정을 보여주는 계정이다."
706,조출생률,"특정인구집단의 출산수준을 나타내는 기본적인 지표로서 1년간의 총출생아수를 당해 년도의 주민등록에 의한 연앙인구로 나눈 수치를 1,000분비로 나타낸 것이다"
707,조혼인율,"혼인력의 가장 기초적인 것으로서 1년간 발생한 총 혼인건수를 당해연도의 주민등록에 의한 연앙인구로 나눈 수치를 1,000분비로 나타낸 것이다."
708,종사상의 지위,"고용주, 자영자, 무급가족종사자, 상용근로자, 임시근로자 등과 같이 취업자가 실제로 일하고 있는 신분 내지 지위상태를 말한다."
709,종사자수,"조업기간 중 월평균 자영업주 및 무급가족종사자와 피고용자수의 합으로 정의된다. 세부 분류로 상용근로자, 임시 및 일용근로자, 자영업자, 무급가족종사자 및 기타종사자 등이 있다. 상용근로자는 고용계약기간이 1년 이상인 임금근로자 또는 고용 계약기간이 정해지지 않고, 정규직으로 일하는 자를 말한다. 임시 및 일용근로자는 고용계약 기간이 1년 미만인 근로자를 말하며, 자영업자는 개인사업체를 소유하며 자신의 책임아래 사업체를 직접 경영하는 자이다. 무급가족 종사자는 자영업자의 가족이나 친인척이 무보수로 사업체의 업무를 돕는 자로서 정규근무시간의 1/3이상을 근무한 자를 의미한다. "
710,종업원 1인당 부가가치 ,종업원 한 사람이 1년 동안 창출한 부가가치를 산출한 지표로서 부가가치기준에 의한 노동생산성(labor productivity)을 의미한다.
711,종합정보통신망,"ISDN은 다른 매체는 물론, 평범한 구리전화선 위에서도 디지털 전송을 할 수 있게 하기 위한 일련의 CCITT/ITU 표준들이다. 모뎀 대신에 ISDN 어댑터를 설치한 가정이나 회사의 사용자들은 최고 128 Kbps 까지의 빠른 속도로 제공되는 웹 페이지를 볼 수 있다. ISDN은 전송 양단에 어댑터가 필요하므로, 서비스제공자 역시 ISDN 어댑터가 필요하다. 우리나라에서는 한국통신에서 1993년부터 ISDN 서비스를 시작하였다. ISDN에는 두 종류의 서비스가 있는데, 가정이나 소규모회사에는 BRI(Basic Rate Interface)가, 많은 사용자를 위해서는 PRI(Primary Rate Interface) 서비스가 적합하다. ISDN의 개념은 음성 등의 애널로그 데이터와, 디지털 데이터를 같은 네트웍을 통해 함께 통합하여 전송하는 것이다. 비록 ISDN이 애널로그 전송을 위해 설계된 매체 상에 이러한 것들을 통합해서 전송할 수 있지만, 광대역 ISDN(B-ISDN)은 종단회로를 포함한 처음부터 끝까지를 광케이블과 무선 매체 등을 사용하여 이 두 가지 서비스의 통합을 확대할 수 있을 것이다. 광대역 ISDN은 많은 량의 데이터를 고속으로 송신하기 위한 프레임릴레이 서비스와 FDDI(Fiber Distributed-Data Interface) 그리고 SONET(Synchronous Optical Network) 등을 포함하게 될 것이다."
712,주가지수,"주가지수는 증권시장의 전반적인 경기동향을 반영하는 지표로, 주식시장 동향을 분석, 파악하여 시장관리를 위한 기초자료로 활용하기 위해 작성한다. 우리나라의 주가지수는 1983년 1월 4일부터 주가산출방식을 다우-존스식에서 시가총액식으로 전환해 상장된 보통주 전종목을 대상으로 1980년 1월 4일을 기준일로 하며 당일의 주가지수를 100으로 하여 시계열에 의한 연속지수를 산출하고 있다."
713,주식,"기업에도 주인이 있다. 기업의 ‘주인’을 ‘주주’라고 하는데 주주는 기업에 돈을 투자한 투자자를 말한다. 오늘날 기업은 규모가 매우 커서 한 사람이 가진 돈만으로 기업을 설립하거나 각종 투자에 필요한 자금을 동원하기가 힘들다. 그래서 많은 사람들이 조금씩 돈을 모아 이 필요자금에 충당하게 되는데 기업은 이런 자금공급자들에게 ‘당신은 우리 회사의 주인입니다’라는 표시로 주식이라는 증서를 발행해 주며 이렇게 만들어진 기업을 주식회사라고 부른다.

즉 주식이란 주식회사가 자본금을 마련하기 위해서 발행하는 증서로 이 증서의 소지자는 회사에 대해 증서의 표면에 기재된 금액만큼 권리와 의무를 가지게 된다.

예를들어 회사를 운영하는 데 100만원이 필요한 경우를 생각해 보자. 이 회사의 경영자는 은행과 같은 금융기관에서 돈을 빌릴 수도 있지만 회사의 주식을 발행해서 100만원을 마련할 수도 있다. 100명으로부터 1만원씩 투자를 받고 그 증거로 회사의 소유권을 나타내는 주식을 1장씩 나누어 주었다면 그 100명이 모두 회사의 주인이고 각각 100분의 1씩 회사를 소유한 것이 된다.

은행에 예금을 하면 이자를 받지만 주식을 가지고 있으면 회사의 주인으로서 그 회사가 벌어들인 이익을 나눠 받게 된다. 회사가 이익을 많이 내면 주식을 갖고 있는 주주가 받는 배당금도 커지지만 회사가 이익을 내지 못하면 배당금을 한 푼도 받지 못하며 회사가 망한다면 투자한 돈을 모두 날릴 수도 있다.

주식은 주식이 거래되는 시장, 즉 주식시장에서 사고 팔 수 있다. 주식의 가격은 주식시장에서 수요와 공급에 의해 결정된다. 주식의 가격을 주가라고 하는데 주식에 투자하는 사람은 어떤 회사가 경영을 잘할 것인지를 잘 따져서 사야 주가상승으로 인해 이익을 남길 수 있다"
714,주택,"한 가구가 살림을 할 수 있도록 지어진 집으로서 영구건물이어야 하며, 부엌과 한개 이상의 방 그리고, 독립된 출구를 갖추고, 관습상 소유 또는 매매의 한 단위를 이루고 있어야 한다."
715,주택보급률,"특정국가 또는 특정지역의 주택재고의 과부족을 총체적으로 나타내주는 지표로서 일반적으로 주택수를 가구수로 나누어 산정(총 주택수/보통가구수)하고 있으며, 총 주택수는 사용주택수에 빈집수를 더한 수이고, 보통가구수는 가족을 구성하여 거주하는 혈연가구수이다."
716,주택투자율,"GNP 또는 GDP 중 주택투자액이 차지하는 비율로 우리나라에서는 GNP대비 주택투자율을, 선진국에서는 GDP대비 주택투자율을 주로 발표하고 있다"
717,준법인기업 소득의 인출,준법인기업의 경우 소유자가 기업소득의 일부 또는 전부를 인출할 수 있는데 이는 법인기업의 배당과 동일하게 처리됨
718,준비자산,"중앙은행이나 정부가 국제수지 불균형을 보전하거나 외환시장 안정을 위해 언제든지 사용할 수 있도록 보유하고 있는 대외지급준비자산으로, 국제수지표에는 거래적 요인에 의한 외환보유액 변동분을, 국제투자대조표에는 외환보유액 총액을 계상한다."
719,준비자산,"준비자산이란 통화당국이 보유하고 있는 외환보유액으로 국제수지 불균형의 직접적인 보전 또는 환율에 영향을 미치는
외환시장 개입을 통한 간접적인 국제수지 불균형 규모 조절 등의 목적으로 통화당국에 의해 즉시 사용 가능하고 통제되는 대외자산을 의미한다. 금, IMF 특별인출권(SDR), IMF 포지션, 외환, 외화예금 및 증권 등의 외화자산으로 구성된다."
720,준전문가,"주된 업무가 하나 이상의 자연 및 생명과학 또는 사회과학 분야의 기술적 지식과 경험을 기초로 전문가의 지휘하에 조사, 연구 등에 관련된 기술적인 업무를 수행하는 자와, 또한 정규교육의 보조적인 업무, 의료, 재무, 판매에 대한 기술적 업무 및 예술 및 스포츠 활동 등을 수행하는 자를 말한다."
721,중간소비,"생산과정에서 원재료, 광열료, 간접비 등으로 소비된 비내구재 및 서비스를 말하는 것으로서 고정자산의 유지보수 및 연구개발 조사를 위한 지출 등이 포함되고 중고품과 폐품의 순판매액은 차감된다. 중간소비는 최종소비지출과 혼돈을 가져올 수 있는데 양자는 재화와 용역이 생산에 투입되는가 또는 소비주체에 의해 소비되는가에 의해 구분된다. 즉 똑같은 비누와 수건이라 하더라도 기업주가 공장이나 사무실에서 근로자들이 사용할 목적으로 구입하였다면 중간소비로 계상되나 근로자가 가정에서 사용할 목적으로 구입하였다면 최종소비 지출로 처리된다. 한편 중간소비와 자본형성은 생산자가 구입한 재화가 회계기간중에 소진되는가 또는 회계기간 이후에도 이익의 원천이 되는가에 따라 구분된다."
722,중개어음금리,전국종합금융협회에서 종합금융회사가 고객에게 매출하는 자유금리기업어음과 단순중개기업어음의 거래금리를 거래액으로 가중평균한 금리를 일별로 조사하여 산출하고 있는데「통화금융」상의 금리는 일별금리를 매월 단순평균한 금리이다.
723,중계무역,거주자가 해외에서 비거주자로부터 상품을 구입하여 동 상품을 국내로 들여오지 않고 다른 나라에 수출하는 거래를 의미한다.
724,중앙값,데이터를 크기순서로 나열했을 경우 가장 중앙에 위치하게 되는 데이터의 값이나 이에 해당되는 값을 말한다. 산술평균이 극단값(Extreme data)에 영향을 크게 받게 되는 약점을 피하기 위하여 고안된 것이다
725,증가율,"일정한 수와 양이 증가되는 비율을 증가율이라 한다. 시계열자료의 분석에 있어서는 비교대상기간에 따라 전월(대)비, 전분기(대)비, 전년(대)비, 전년동기(대)비 등으로 쓰인다. 일반적으로 통계시계열의 분석을 위해 행해지는 기간간 비교에서 전년동월(분기)비는 원계열을 쓰고 전월(분기)비는 계절조정치를 쓴다. 이는 단기간의 변화에는 계절적인 변화가 포함되어 있어 단순히 당월의 경기가 호조인지 부진인지의 파악이 불가능하기 때문이며, 전년동월(분기)비의 비교는 계절적으로 동일한 상황하에 있는 1년전의 달과 비교라는 의미에서 계절적으로 같은 의미가 되기 때문에 경제시계열 관찰에 많이 이용된다. 그러나 생산자물가지수나 소비자물가지수는 전월비에서도 원지수를 이용한다. 이는 지수작성과정에서 계절적인 영향이 제거되도록 작성하기 때문이다."
726,증권투자,"외국과의 주식, 채권거래를 의미하는 것으로 동일한 주식투자라 하더라도 투자대상기업의 전체주식중 10% 이상을 취득한 경우 및 경영상의 필요한 발언권을 보유한 경우에는 “직접투자”로 분류"
727,지급수수료 ,무형자산이나 무체 재산권의 사용대가를 지급수수료라 말한다. 따라서 임차료(rent)는 지급수수료가 아니다.
728,지급준비율 제도,"지급준비율 제도는 은행이 고객의 예금 인출에 대비하여 고객으로부터 받은 예금액의 일정비율 만큼을 중앙은행에 예치하거나 자체 금고에 보유하도록 하는 것을 의미한다. 즉, 중앙은행인 한국은행이 법정지급준비율을 정하면 예금은행은 예금액에서 이 법정지급준비율에 해당하는 금액을 법정지급준비금으로 보유한 이후에 그 나머지를 대출하거나 유가증권 등에 투자할 수 있다.

지급준비율제도는 최초에는 은행의 지급불능사태를 방지하기 위하여 고객보호차원에서 도입되었다. 그러다가 점차 공개시장정책, 재할인정책 등과 함께 중앙은행의 주요 금융정책의 수단으로 활용되고 있다"
729,지니계수,"이탈리아의 통계학자이자 인구학자인 지니(Corrado Gini)에 의해 고안된 소득분포의 불평등 정도를 측정하는 지표이다. <그림 1>
지니계수는 위 그래프에서 A/(A+B) 부분을 나타낸다. 이는 로렌츠곡선과 소득의 완전 균등분배를 나타내는 대각선 사이의 면적이 얼마나 되는가를 비율로 나타낸 것이다. 지니계수가 0에 가까울수록 소득격차가 작은 것을, 1에 가까울수록 소득격차가 큰 것을 나타낸다."
730,지방재정,"일반회계와 특별회계로 구성되어 있으며, 일반회계는 각급 지방자치단체에서 운영되는 기본적인 회계이며, 특별회계는 각급 지방자치단체에서 특별한 사업을 수행하거나 특별한 자금을 관리하기 위하여 조례로 정하여 일반회계와 구분, 운영하는 회계를 말한다.
ⓐ지방공기업특별회계 : 지방공기업법에 의하여 지방자치단체가 독립채산제 운영을 위해 설치, 운영하는 특별회계(상수도, 하수도, 병원, 지하철 등)
ⓑ교육비특별회계 : 교육법에 의해 설치·운영하는 교육·학예에 관한 예산 (시·도 교육위원회와 시·군 교육청 소관 예산)
ⓒ기타특별회계 : 각급 지방자치단체에서 운영하는 각종 특별회계 중에서 지방공기업특별회계, 교육비특별회계를 제외한 여타 특별회계의 총칭"
731,지분법적용회사의 잉여금변동,피투자회사의 순자산가액의 변동이 이익잉여금의 증가 또는 감소로 인하여 발생하는 것으로 피투자회사의 당기순이익 또는 당기순손실로 인하여 발생하는 평가손익이 영업외수익인 지분법이익 또는 손실로 처리되는 것과는 구분되며 또한 피투자회사의 순자산가액변동이 자본잉여금 또는 자본조정으로 인해 발생하는 경우의 지분법투자주식 평가손익을 자본조정으로 처리하는 것과도 구분된다.
732,지분법평가손실 ,지분법평가손실은 투자회사가 직접 또는 지배·종속회사를 통하여 간접으로 피투자회사의 의결권 있는 주식의 20% 이상을 보유하고 있다면 중대한 영향력이 있는 것으로 보아 피투자회사의 당기순손실 발생분에 대하여 투자회사의 지분율만큼 손실로 인식하는 금액을 말한다.
733,지분법평가이익 ,지분법평가이익은 투자회사가 직접 또는 지배·종속회사를 통하여 간접으로 피투자회사의 의결권 있는 주식의 20% 이상을 보유하고 있다면 중대한 영향력이 있는 것으로 보아 피투자회사의 당기순이익 발생분에 대하여 투자 회사의 지분율만큼 이익으로 인식하는 금액을 말한다.
734,지수,"어떤 현상에 대한 수준의 추이를 살피거나 또는 몇 개의 현상에 대한 추이를 서로 대비하기 위해 직접 측정할 수 없는 수량의 변동을 기준시점의 값에 대한 상대값으로 나타낸 값을 말한다. 종합지수의 계산식으로는 라스파이레스산식, 파아쉐산식, 피셔산식 등이 있다."
735,지식기반경제,"OECD 정의에 의하면 지식기반경제란 지식의 창출과 확산, 활용에 근거한 경제를 말한다. 지식기반경제는 생산활동에서 기존 생산의 3요소 이외에 지식에 의존하는 비중이 높고 지식이 가장 중요한 의미를 지니는 경제, 사회구조를 의미하는 것이다. 참고로 MIT의 경제학자 Lester Thurow교수가 월간 Atlantic 6월 호에 부(富)의 형성(Building Wealth)이라는 기고를 통해 제시한 지식기반경제의 8개 법칙을 소개하면 다음과 같다. 진정한 부는 단순한 절약으로는 불가능하며, 더 적은 노동력과 자본을 갖고 더 많은 것을 생산할 수 있는 능력이 가능할 때만 이뤄진다(1법칙), 성공적인 기업들은 계속 현 기술을 해체하고 새 기술을 받아들여야 한다(2법칙), 기술의 급진적 변화 외에도 사회적인 불균형-개발의 불균형도 성공의 기회를 제공한다(3법칙), globalization은 가격인하 바람을 초래하고 계속 생산단가가 싼 곳으로 생산시설을 옮기게 해, 인플레이션 환경보다 디플레이션 압력 하에서 자본주의를 운용하는 것이 더 어렵다(4법칙), 창업가를 대체할 사회적 기구는 없다(5법칙), 질서를 우선 순위에 놓는 사회는 결코 창조적일 수 없다(6법칙), 성공적인 지식기반 경제를 이루려면, 교육과 하부구조, 연구개발에 대한 대규모 공공투자가 필요하다(7법칙) 개인은 어떻게 경력을 쌓아가느냐 하는 미지(未知)의 최대 도전에 직면한다 (8법칙)"
736,지역내총생산,"일정기간 동안 일정한 지역 내에서 새로이 생산된 상품과 서비스의 가치를 시장가격으로 평가한 것으로 시ㆍ도 단위별 생산, 소비, 물가 등 기초통계를 바탕으로 추계한 해당지역의 부가가치로서 시.도 단위의 종합경제지표이다."
737,지역산업연관표,지역별로 상이한 생산기술구조와 거래형태를 반영하고 지역 간 및 산업 간 상호의존관계를 분석하기 위해 작성되는 산업연관표. 한 지역 내의 경제구조만 대상으로 하는 지역 내 산업연관표와 여러 지역 간의 연관관계를 나타내는 지역 간 산업연관표가 있음
738,지정통계,"국가 또는 지방자치단체의 인구·사회·경제 기타 정책의 수립 및 평가에 널리 활용되는 통계로 다음 각호중 하나에 해당하는 통계로 통계청장이 지정하여 고시하는 통계를 말한다.
1. 전국을 조사대상으로 하고 특별시·광역시·도별 통계자료를 생산하는 통계
2. 다른 통계의 모집단자료로 널리 활용 가능한 통계
3. 국제연합 등 국제기구에서 권고하는 통일된 기준 및 작성방법에 따라 작성하는 통계
4. 기타 지정통계로 지정할 필요가 있다고 통계청장이 인정하는 통계.
지정통계는 통계법상 자료제출명령권, 실지조사권이 부여되어 있고 일정한 위반행위에 대해서는 과태료를 부과할 수 있도록 하고 있다.(일반통계는 이러한 권한이 없음)"
739,지출측면의 GDP,국민계정상 지출측면의 GDP는 구매자가격으로 평가한 총지출액에서 f.o.b. 가격에 의한 총수입을 차감한 것으로 정의됨
740,직무,"「생산활동에 종사하는 개별 종사자 한사람에 의하여 정규적으로 수행되었거나 또는 수행되도록 설정, 교육, 훈련되는 일련의 업무 및 임무」라 정의되며, 직업분류의 가장 기본적인 개념이다"
741,직업,"직업이란 개인이 계속적으로 수행하는 경제 및 사회활동의 종류를 말한다. 일의 계속성이란 일시적인 것이 아니고 매일, 매주, 매월, 주기적으로 행하고 있는 경우, 계절적으로 행하고 있는 경우 또는 명확한 주기를 갖지 않더라도 계속하고 있으며 현재 하고 있는 일에 대하여 의사와 능력을 가지고 행하는 것이어야 한다"
742,직업분류,"생산적인 경제활동에 종사하는 사람들에 의하여 수행되어야 할 각종 직무를 그 수행되는 일의 형태에 따라 체계적으로 유형화한 것이 직업분류이며, 통계청에서는 ILO의 국제표준직업분류(ISCO-88)를 근거로 국내 직업구조 및 실태에 맞도록 표준화한 한국표준직업분류를 제정·고시하고 있다. 최근에 제5차 개정을 통계청 고시 제2000-2호(2000.1. 7)로 고시하고 2000년 3월 1일부터 시행하게 되었다"
743,직접투자,"직접투자가가 직접투자기업에 대한 경영참여 등과 같이 지속적인 이익을 취득하기 위하여 행하는 대외투자를 말하며 양자간의 직접투자관계를 발생시키는 최초거래뿐만 아니라 양자간 및 계열기업간에 이루어진 자금의 차입, 대출과 같은 후속거래도 포함된다."
744,직접투자,"직접투자가가 직접투자기업에 대한 경영참여 등과 같이 지속적인 이익을 취득하기 위하여 행하는 대외투자를 말하며 양자간의 직접투자관계를 발생시키는 최초거래뿐만 아니라 양자간 및 계열기업간에 이루어진 자금의 차입, 대출과 같은 후속거래도 포함"
745,진료자수 및 치료일수,"조사대상기간(2주간) 동안 0세 이상 유병자를 대상으로 하여 치료방법 및 치료 기간을 조사하여 작성한 지표이다. 진료자수는 유병기간중 병·의원 치료를 1회 이상 받은 사람수이며, 병·의원이란 종합병원, 일반병·의원, 치과병·의원, 보건소 등을 말한다. 1인당 치료일수는 병·의원치료를 1회 이상 받은 사람의 총 치료일수를 병·의원 진료자수로 나누어 산출한다"
746,진학률,"학률은 졸업생 대비 상급학교에 진학하는 학생비율을 나타내는데, 이 결과는 상급학교 진학경쟁률에 관한 정보를 제공해 주는 것으로 교육열을 나타내는 가장 일반적인 지표이다. 아래의 세가지 진학률 산정방법 중 특히 상급학교 입학자를 분자로 하여 산출한 경우를 입학률이라고도 말한다.
· 진학률(1) = 당해년도 졸업자중 진학자수 ÷ 졸업자수 × 100
· 진학률(2) = 상급학교 입학자수(재수생 포함) ÷ 졸업자수 × 100
· 진학률(3) = 상급학교 1학년 학생수 ÷ 졸업자수 × 100"
747,차기이월이익잉여금 ,처분전이익잉여금과 임의적립금이입액의 합계에서 이익잉여금처분액을 차감한 금액을 말한다. 차기이월이익잉여금 = 당기말미처분이익잉여금 + 적립금이입액 - 이월이익잉여금처분액
748,차입금 대 매출액 ,차입금 규모가 매출액과 비교하여 어느 정도인가를 나타내는 지표로 차입금의 상대적인 크기를 나타낸다.
749,차입금의존도 ,총자본중 외부에서 조달한 차입금 비중을 나타내는 지표이다. 차입금의존도가 높은 기업일수록 금융비용부담이 가중되어 수익성이 저하되고 안정성도 낮아지게 된다.
750,차입금평균이자율 ,"회사채, 금융기관차입금 및 사채 등과 같은 이자부부채에 대한 금융비용의 비율로서 차입금에 대한 평균이자율이라고 할 수 있다."
751,채권,"기업이나 정부가 투자자에게서 돈을 빌리면서 금액, 금리, 만기 등을 표시하여 발행한 증서를 채권이라고 한다. 1만원짜리 채권에는 기업이 1만원을 언제까지 갚는다는 것, 얼마만큼의 이자를 언제 어떻게 지급한다는 것 등이 적혀 있다.

즉, 채권은 정부, 공공단체와 주식회사 등이 일반인으로부터 비교적 거액의 자금을 일시에 조달하기 위하여 발행하는 차용증서(借用證書)이며 유가증권이다.

주식을 갖고 있는 사람은 그 기업의 일부를 소유한 투자자로서 기업의 영업성과에 따라 배당을 받게 되지만, 채권을 갖고 있는 사람은 그 기업에 돈을 빌려준 채권자이기 때문에 기업의 영업성과에 관계없이 일정한 이자를 받는다는 점이 다르다.

채권도 주식과 마찬가지로 시장에서 자유롭게 사고 팔 수 있으며 채권 가격은 채권시장에서 채권의 수요와 공급에 의해 결정된다. 그리고 채권에는 여러 종류가 있는데 기업이 발행한 것을 회사채, 국가가 발행한 것을 국채, 지방자치단체가 발행한 것은 지방채라고 한다"
752,채권수익률,한국증권업협회에서 자본금기준 10개 대형증권회사가 매출한 각 채권의 금액 가중평균수익률을 일별로 산출하고 있는데「통화금융」상의 각 채권수익률은 일별 수익률을 단순평균한 금리이다.
753,채권수익률,"금리는 어떤 금융시장에서 형성되느냐에 따라 여러 종류로 구분할 수 있으며, 채권수익률은 채권시장에서 형성되는 금리"
754,처분가능소득,처분가능소득은 제2차 소득분배계정의 균형항목으로 다음과 같이 정의됨. 처분가능소득 = 본원소득 잔액 + 수취 경상이전 총액(사회적 현물이전 제외)? - 지급 경상이전 총액(사회적 현물이전 제외)
755,처분전이익잉여금 ,"처분전이익잉여금은 전기로부터 이월된 전기이월이익잉여금에 회계변경의 누적효과, 전기오류수정손익, 지분법적용회사의 잉여금 변동 및 당기순이익 및 기타처분전이익 잉여금을 합계한 것이다."
756,척도,"자료가 수집될 때 관찰된 현상에 하나의 값을 할당시키기 위하여 사용되는 측정의 수준을 말하며, 여기에는 명목척도(Nominal scale), 순위척도(Ordinal scale), 구간척도(Interval scale) 그리고 비척도(Ratio scale) 등으로 분류된다"
757,초과공급,"어떤 가격 수준에서 공급이 수요보다 많을 때 이를 초과총급이라 하고 이 초과분, 즉 공급량에서 수요량을 차감한 부분을 초과공급량이라 한다.

초과공급 상태에서는 주어진 가격수준에서 재화를 팔고자 하는 사람들이 원하는 수량을 모두 팔지 못한다. 현재의 가격에서 원하는 양을 팔지 못한 사람들 중 재화를 팔기를 간절히 원하는 사람들은 좀 더 낮은 가격에라도 이 재화를 팔려고 할 것이다. 이에 따라 가격이 하락하기 시작하면서 소비자들에게는 더 많이 구매하려는 유인이 생겨나게 된다. 물론 가격이 하락하면서 공급량은 줄어들기 때문에 이 재화를 팔지 못한 사람도 점차 줄어들게 된다. 이러한 과정이 계속되어 가격이 충분히 하락하면 결국 시장 공급량과 시장 수요량이 일치하는 균형상태가 된다"
758,초과수요,"어떤 가격 수준에서 수요가 공급보다 많을 때 이를 초과수요라 하고 이 부족분, 즉 수요량에서 공급량을 차감한 부분을 초과수요량이라 한다.

초과수요 상태에서는 주어진 가격수준에서 재화를 사고자 하는 사람들이 원하는 수량을 모두 얻지 못한다. 현재의 가격에서 원하는 양을 구입하지 못한 사람들 중 재화를 간절히 원하는 사람들은 좀 더 높은 가격을 지불하는 한이 있더라도 이 재화를 사려고 할 것이다. 이에 따라 가격이 상승하기 시작하면서 생산자들에게는 더 많이 공급하려는 유인이 생겨나게 된다. 물론 가격이 올라가면서 수요량은 줄어들기 때문에 이 재화를 구입하지 못한 사람도 점차 줄어들게 된다. 이러한 과정이 계속되어 가격이 충분히 오르면 결국 시장 수요량과 시장 공급량이 일치하는 균형상태가 된다."
759,총고정자본형성,"총고정자본형성은 회계기간중 고정자산 취득액(처분액 차감) 외에 제도단위의 생산적 활동에 의해 이루어진 유형고정자산의 가치 증가액을 포하며 국민소득 통계상 국민총지출을 구성하는 한 항목이다. 기업에서는 지속적인 생산능력을 유지하고 경쟁력을 확보하기 위해 노후설비를 새로운 설비로 대체하거나 신규사업에의 진출을 위해 공장도 짓고 기계도 구입하는데 이러한 경제활동은 당해 연도의 이익만을 위한 것이 아니고 미래의 지속적인 수입의 보장 등 장기적인 안목에서 이루어지고 있다. 이렇게 여러 회계연도에 걸쳐 생산에 이용되는 재화를 자본재라고 하며, 생산주체에 의한 자본재구입을 총고정자본형성이라 한다. "
760,총부가가치,"총부가가치는 산출액에서 중간소비를 차감한 금액으로 정의되며 이는 개별 생산자, 산업 또는 부문이 GDP에 기여한 금액을 의미함"
761,총산출,생산된 재화와 서비스의 화폐평가액을 총합한 것으로 재고품과 자가소비를 포함한다. 국민소득통계에서 총생산은 이러한 총산출에서 중간투입액을 제외한 부가가치의 합을 의미한다.
762,총산출물가지수(TOPI),생산자물가지수와 수출물가지수를 결합하여 국내출하 외에 수출을 포함하는 총산출 기준으로 상품 및 서비스의 종합적인 가격수준을 측정하여 지수화한 지표
763,총수요액,"각 산업부문에서 생산활동의 중간재로 사용하기 위하여 재화나 서비스를 수요하는 것을 중간수요라 하고 가계소비, 기업투자, 수출 등의 것을 최종수요라 하는 데 양자를 합친 것"
